
> writing-task-app@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.75:3000
- Environments: .env.local
✓ Ready in 691ms

 GET / 200 in 503ms (next.js: 378ms, application-code: 125ms)
 GET /study?page=intro&username=sim-01-room-c-engaged&condition=c&scenario=roomDoubleBooking 200 in 104ms (next.js: 22ms, application-code: 82ms)
 GET /study?page=intro&username=sim-01-room-c-engaged&condition=c&scenario=roomDoubleBooking 200 in 118ms (next.js: 10ms, application-code: 107ms)
 POST /api/log 200 in 179ms (next.js: 121ms, application-code: 59ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 12ms)
 GET /study?page=intro-survey&username=sim-01-room-c-engaged&condition=c&scenario=roomDoubleBooking 200 in 123ms (next.js: 11ms, application-code: 112ms)
 POST /api/log 200 in 25ms (next.js: 5ms, application-code: 20ms)
 POST /api/log 200 in 30ms (next.js: 7ms, application-code: 23ms)
 GET /study?page=start-task&username=sim-01-room-c-engaged&condition=c&scenario=roomDoubleBooking 200 in 158ms (next.js: 6ms, application-code: 152ms)
 POST /api/log 200 in 38ms (next.js: 8ms, application-code: 29ms)
 POST /api/log 200 in 24ms (next.js: 7ms, application-code: 17ms)
 GET /study?page=task&username=sim-01-room-c-engaged&condition=c&scenario=roomDoubleBooking 200 in 181ms (next.js: 6ms, application-code: 175ms)
 POST /api/log 200 in 22ms (next.js: 5ms, application-code: 17ms)
 POST /api/log 200 in 25ms (next.js: 4ms, application-code: 21ms)
 POST /api/log 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 47ms (next.js: 17ms, application-code: 30ms)
 POST /api/log 200 in 12ms (next.js: 3ms, application-code: 10ms)
 POST /api/chat 200 in 3.8s
 POST /api/log 200 in 28ms (next.js: 13ms, application-code: 16ms)
 POST /api/log 200 in 12ms (next.js: 5ms, application-code: 7ms)
 POST /api/log 200 in 116ms (next.js: 18ms, application-code: 97ms)
 POST /api/chat 200 in 2.8s
 POST /api/log 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/log 200 in 22ms (next.js: 10ms, application-code: 12ms)
 POST /api/log 200 in 22ms (next.js: 5ms, application-code: 17ms)
 POST /api/log 200 in 57ms (next.js: 10ms, application-code: 47ms)
 POST /api/log 200 in 27ms (next.js: 7ms, application-code: 19ms)
 POST /api/log 200 in 19ms (next.js: 11ms, application-code: 8ms)
 POST /api/log 200 in 16ms (next.js: 8ms, application-code: 9ms)
 POST /api/log 200 in 43ms (next.js: 14ms, application-code: 29ms)
 POST /api/log 200 in 27ms (next.js: 16ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 9ms, application-code: 8ms)
 POST /api/log 200 in 13ms (next.js: 6ms, application-code: 8ms)
 POST /api/log 200 in 14ms (next.js: 7ms, application-code: 7ms)
 POST /api/log 200 in 16ms (next.js: 7ms, application-code: 8ms)
 POST /api/log 200 in 29ms (next.js: 12ms, application-code: 17ms)
 POST /api/log 200 in 25ms (next.js: 8ms, application-code: 17ms)
 POST /api/log 200 in 20ms (next.js: 9ms, application-code: 11ms)
 POST /api/log 200 in 26ms (next.js: 7ms, application-code: 20ms)
 POST /api/log 200 in 22ms (next.js: 6ms, application-code: 16ms)
 POST /api/log 200 in 14ms (next.js: 6ms, application-code: 8ms)
 POST /api/log 200 in 20ms (next.js: 10ms, application-code: 10ms)
 POST /api/log 200 in 27ms (next.js: 7ms, application-code: 20ms)
 POST /api/log 200 in 20ms (next.js: 9ms, application-code: 10ms)
 POST /api/log 200 in 44ms (next.js: 11ms, application-code: 33ms)
 POST /api/log 200 in 24ms (next.js: 8ms, application-code: 15ms)
 POST /api/log 200 in 18ms (next.js: 10ms, application-code: 8ms)
 POST /api/log 200 in 45ms (next.js: 15ms, application-code: 30ms)
 POST /api/log 200 in 34ms (next.js: 8ms, application-code: 26ms)
 POST /api/log 200 in 34ms (next.js: 14ms, application-code: 20ms)
 POST /api/log 200 in 36ms (next.js: 11ms, application-code: 25ms)
 POST /api/log 200 in 45ms (next.js: 14ms, application-code: 31ms)
 POST /api/log 200 in 39ms (next.js: 9ms, application-code: 30ms)
 POST /api/log 200 in 42ms (next.js: 11ms, application-code: 31ms)
 POST /api/log 200 in 29ms (next.js: 6ms, application-code: 23ms)
 POST /api/log 200 in 14ms (next.js: 6ms, application-code: 8ms)
 POST /api/log 200 in 21ms (next.js: 9ms, application-code: 12ms)
 POST /api/log 200 in 24ms (next.js: 4ms, application-code: 21ms)
 POST /api/log 200 in 35ms (next.js: 7ms, application-code: 28ms)
 POST /api/log 200 in 15ms (next.js: 9ms, application-code: 6ms)
 POST /api/log 200 in 84ms (next.js: 17ms, application-code: 67ms)
 POST /api/log 200 in 27ms (next.js: 8ms, application-code: 19ms)
 POST /api/log 200 in 18ms (next.js: 4ms, application-code: 15ms)
 POST /api/log 200 in 10ms (next.js: 2ms, application-code: 8ms)
 POST /api/log 200 in 27ms (next.js: 7ms, application-code: 20ms)
 POST /api/log 200 in 21ms (next.js: 7ms, application-code: 14ms)
 POST /api/log 200 in 25ms (next.js: 11ms, application-code: 14ms)
 POST /api/log 200 in 20ms (next.js: 8ms, application-code: 12ms)
 POST /api/log 200 in 16ms (next.js: 5ms, application-code: 11ms)
