
> writing-task-app@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.75:3000
- Environments: .env.local
✓ Ready in 887ms

 GET / 200 in 366ms (next.js: 188ms, application-code: 178ms)
 GET /study?page=intro&username=sim-03-room-c-unconcerned&condition=c&scenario=roomDoubleBooking 200 in 216ms (next.js: 66ms, application-code: 150ms)
 GET /study?page=intro&username=sim-03-room-c-unconcerned&condition=c&scenario=roomDoubleBooking 200 in 46ms (next.js: 4ms, application-code: 42ms)
 POST /api/log 200 in 165ms (next.js: 100ms, application-code: 65ms)
 POST /api/log 200 in 28ms (next.js: 9ms, application-code: 20ms)
 GET /study?page=intro-survey&username=sim-03-room-c-unconcerned&condition=c&scenario=roomDoubleBooking 200 in 73ms (next.js: 8ms, application-code: 65ms)
 POST /api/log 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/log 200 in 21ms (next.js: 6ms, application-code: 15ms)
 GET /study?page=start-task&username=sim-03-room-c-unconcerned&condition=c&scenario=roomDoubleBooking 200 in 35ms (next.js: 4ms, application-code: 31ms)
 POST /api/log 200 in 11ms (next.js: 3ms, application-code: 8ms)
 POST /api/log 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /study?page=task&username=sim-03-room-c-unconcerned&condition=c&scenario=roomDoubleBooking 200 in 34ms (next.js: 4ms, application-code: 30ms)
 POST /api/log 200 in 11ms (next.js: 3ms, application-code: 8ms)
 POST /api/log 200 in 15ms (next.js: 6ms, application-code: 9ms)
 POST /api/log 200 in 14ms (next.js: 4ms, application-code: 10ms)
 POST /api/log 200 in 16ms (next.js: 5ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 10ms)
 POST /api/log 200 in 21ms (next.js: 11ms, application-code: 9ms)
 POST /api/log 200 in 12ms (next.js: 5ms, application-code: 8ms)
 POST /api/log 200 in 16ms (next.js: 4ms, application-code: 12ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 20ms (next.js: 8ms, application-code: 12ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 12ms)
 POST /api/log 200 in 16ms (next.js: 6ms, application-code: 10ms)
 POST /api/log 200 in 12ms (next.js: 3ms, application-code: 10ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 26ms (next.js: 7ms, application-code: 19ms)
 POST /api/log 200 in 9ms (next.js: 4ms, application-code: 5ms)
 POST /api/log 200 in 17ms (next.js: 5ms, application-code: 12ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 11ms (next.js: 3ms, application-code: 7ms)
 POST /api/log 200 in 17ms (next.js: 7ms, application-code: 10ms)
 POST /api/log 200 in 19ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 16ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 16ms (next.js: 6ms, application-code: 10ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 21ms (next.js: 8ms, application-code: 14ms)
 POST /api/log 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/log 200 in 7ms (next.js: 2ms, application-code: 5ms)
 POST /api/log 200 in 12ms (next.js: 4ms, application-code: 9ms)
 POST /api/log 200 in 17ms (next.js: 7ms, application-code: 10ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 11ms (next.js: 4ms, application-code: 6ms)
 POST /api/log 200 in 8ms (next.js: 3ms, application-code: 5ms)
 POST /api/log 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 10ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 4ms, application-code: 14ms)
 POST /api/log 200 in 9ms (next.js: 2ms, application-code: 7ms)
 POST /api/log 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/log 200 in 14ms (next.js: 5ms, application-code: 10ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 13ms)
 POST /api/log 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 17ms (next.js: 5ms, application-code: 11ms)
 POST /api/log 200 in 21ms (next.js: 7ms, application-code: 14ms)
 POST /api/log 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/log 200 in 8ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 14ms (next.js: 4ms, application-code: 10ms)
 POST /api/log 200 in 16ms (next.js: 5ms, application-code: 11ms)
 POST /api/log 200 in 19ms (next.js: 7ms, application-code: 12ms)
 POST /api/log 200 in 19ms (next.js: 10ms, application-code: 9ms)
 POST /api/log 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/log 200 in 13ms (next.js: 3ms, application-code: 10ms)
 POST /api/log 200 in 17ms (next.js: 5ms, application-code: 12ms)
 POST /api/log 200 in 20ms (next.js: 8ms, application-code: 12ms)
 POST /api/log 200 in 15ms (next.js: 7ms, application-code: 8ms)
 POST /api/log 200 in 13ms (next.js: 5ms, application-code: 7ms)
 POST /api/log 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/log 200 in 17ms (next.js: 5ms, application-code: 12ms)
 POST /api/log 200 in 17ms (next.js: 4ms, application-code: 12ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 16ms (next.js: 5ms, application-code: 10ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 16ms (next.js: 5ms, application-code: 11ms)
 POST /api/log 200 in 8ms (next.js: 2ms, application-code: 6ms)
 POST /api/log 200 in 16ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 10ms)
 POST /api/log 200 in 27ms (next.js: 3ms, application-code: 24ms)
 POST /api/log 200 in 19ms (next.js: 5ms, application-code: 14ms)
 POST /api/log 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/log 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/log 200 in 23ms (next.js: 6ms, application-code: 17ms)
 POST /api/log 200 in 16ms (next.js: 5ms, application-code: 12ms)
 POST /api/log 200 in 15ms (next.js: 5ms, application-code: 9ms)
 POST /api/log 200 in 14ms (next.js: 6ms, application-code: 8ms)
 POST /api/log 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/log 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/log 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/log 200 in 18ms (next.js: 10ms, application-code: 9ms)
 POST /api/log 200 in 20ms (next.js: 4ms, application-code: 16ms)
 POST /api/log 200 in 19ms (next.js: 5ms, application-code: 13ms)
 POST /api/log 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/log 200 in 13ms (next.js: 5ms, application-code: 8ms)
 POST /api/log 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/log 200 in 12ms (next.js: 5ms, application-code: 7ms)
 POST /api/log 200 in 16ms (next.js: 5ms, application-code: 11ms)
 POST /api/writing-support 200 in 3.2s
 POST /api/log 200 in 16ms (next.js: 3ms, application-code: 13ms)
 POST /api/log 200 in 17ms (next.js: 4ms, application-code: 13ms)
 POST /api/log 200 in 19ms (next.js: 5ms, application-code: 14ms)
 POST /api/log 200 in 15ms (next.js: 9ms, application-code: 6ms)
 POST /api/log 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 18ms (next.js: 5ms, application-code: 12ms)
 POST /api/log 200 in 19ms (next.js: 7ms, application-code: 13ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 13ms (next.js: 5ms, application-code: 8ms)
 POST /api/log 200 in 8ms (next.js: 2ms, application-code: 6ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 16ms (next.js: 6ms, application-code: 10ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 21ms (next.js: 7ms, application-code: 14ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 8ms (next.js: 3ms, application-code: 5ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 16ms (next.js: 7ms, application-code: 9ms)
