
> writing-task-app@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.75:3000
- Environments: .env.local
✓ Ready in 648ms

 GET / 200 in 335ms (next.js: 161ms, application-code: 174ms)
 GET /study?page=intro&username=sim-05-room-e-anxious&condition=e&scenario=roomDoubleBooking 200 in 188ms (next.js: 36ms, application-code: 151ms)
 GET /study?page=intro&username=sim-05-room-e-anxious&condition=e&scenario=roomDoubleBooking 200 in 48ms (next.js: 6ms, application-code: 42ms)
 POST /api/log 200 in 153ms (next.js: 105ms, application-code: 48ms)
 POST /api/log 200 in 39ms (next.js: 10ms, application-code: 29ms)
 GET /study?page=intro-survey&username=sim-05-room-e-anxious&condition=e&scenario=roomDoubleBooking 200 in 112ms (next.js: 17ms, application-code: 95ms)
 POST /api/log 200 in 30ms (next.js: 10ms, application-code: 20ms)
 POST /api/log 200 in 29ms (next.js: 10ms, application-code: 19ms)
 GET /study?page=start-task&username=sim-05-room-e-anxious&condition=e&scenario=roomDoubleBooking 200 in 86ms (next.js: 12ms, application-code: 73ms)
 POST /api/log 200 in 20ms (next.js: 7ms, application-code: 13ms)
 POST /api/log 200 in 25ms (next.js: 8ms, application-code: 17ms)
 GET /study?page=task&username=sim-05-room-e-anxious&condition=e&scenario=roomDoubleBooking 200 in 58ms (next.js: 8ms, application-code: 50ms)
 POST /api/log 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/log 200 in 9ms (next.js: 2ms, application-code: 6ms)
 POST /api/log 200 in 11ms (next.js: 3ms, application-code: 8ms)
 POST /api/log 200 in 14ms (next.js: 4ms, application-code: 10ms)
 POST /api/log 200 in 29ms (next.js: 7ms, application-code: 21ms)
 POST /api/chat 200 in 2.4s
 POST /api/log 200 in 16ms (next.js: 6ms, application-code: 10ms)
 POST /api/log 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/log 200 in 55ms (next.js: 7ms, application-code: 48ms)
 POST /api/chat 200 in 3.0s
 POST /api/log 200 in 15ms (next.js: 4ms, application-code: 11ms)
 POST /api/log 200 in 9ms (next.js: 2ms, application-code: 7ms)
 POST /api/log 200 in 23ms (next.js: 6ms, application-code: 17ms)
 POST /api/log 200 in 13ms (next.js: 2ms, application-code: 11ms)
 POST /api/log 200 in 21ms (next.js: 6ms, application-code: 15ms)
 POST /api/log 200 in 19ms (next.js: 5ms, application-code: 14ms)
 POST /api/log 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/log 200 in 32ms (next.js: 11ms, application-code: 21ms)
 POST /api/log 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/log 200 in 9ms (next.js: 2ms, application-code: 7ms)
 POST /api/log 200 in 19ms (next.js: 5ms, application-code: 14ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 20ms (next.js: 7ms, application-code: 13ms)
 POST /api/log 200 in 18ms (next.js: 4ms, application-code: 14ms)
 POST /api/log 200 in 8ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 17ms (next.js: 4ms, application-code: 12ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 5ms, application-code: 12ms)
