
> writing-task-app@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.75:3000
- Environments: .env.local
✓ Ready in 560ms

 GET / 200 in 390ms (next.js: 219ms, application-code: 171ms)
 GET /study?page=intro&username=sim-09-room-n-unconcerned&condition=n&scenario=roomDoubleBooking 200 in 123ms (next.js: 42ms, application-code: 81ms)
 GET /study?page=intro&username=sim-09-room-n-unconcerned&condition=n&scenario=roomDoubleBooking 200 in 38ms (next.js: 6ms, application-code: 32ms)
 POST /api/log 200 in 153ms (next.js: 110ms, application-code: 43ms)
 POST /api/log 200 in 28ms (next.js: 8ms, application-code: 20ms)
 GET /study?page=intro-survey&username=sim-09-room-n-unconcerned&condition=n&scenario=roomDoubleBooking 200 in 137ms (next.js: 10ms, application-code: 127ms)
 POST /api/log 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/log 200 in 24ms (next.js: 12ms, application-code: 12ms)
 GET /study?page=start-task&username=sim-09-room-n-unconcerned&condition=n&scenario=roomDoubleBooking 200 in 33ms (next.js: 5ms, application-code: 28ms)
 POST /api/log 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/log 200 in 22ms (next.js: 7ms, application-code: 15ms)
 GET /study?page=task&username=sim-09-room-n-unconcerned&condition=n&scenario=roomDoubleBooking 200 in 44ms (next.js: 7ms, application-code: 37ms)
 POST /api/log 200 in 27ms (next.js: 8ms, application-code: 19ms)
 POST /api/log 200 in 20ms (next.js: 5ms, application-code: 15ms)
 POST /api/log 200 in 13ms (next.js: 4ms, application-code: 8ms)
 POST /api/log 200 in 13ms (next.js: 3ms, application-code: 9ms)
 POST /api/log 200 in 20ms (next.js: 7ms, application-code: 13ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 42ms (next.js: 9ms, application-code: 33ms)
 POST /api/log 200 in 20ms (next.js: 7ms, application-code: 13ms)
 POST /api/log 200 in 17ms (next.js: 4ms, application-code: 13ms)
 POST /api/log 200 in 8ms (next.js: 2ms, application-code: 6ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 20ms (next.js: 9ms, application-code: 11ms)
 POST /api/log 200 in 17ms (next.js: 7ms, application-code: 10ms)
 POST /api/log 200 in 8ms (next.js: 2ms, application-code: 6ms)
 POST /api/log 200 in 29ms (next.js: 12ms, application-code: 16ms)
 POST /api/log 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/log 200 in 20ms (next.js: 7ms, application-code: 13ms)
 POST /api/log 200 in 17ms (next.js: 8ms, application-code: 9ms)
 POST /api/log 200 in 8ms (next.js: 2ms, application-code: 6ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 12ms)
 POST /api/log 200 in 19ms (next.js: 9ms, application-code: 10ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 12ms (next.js: 4ms, application-code: 7ms)
 POST /api/log 200 in 9ms (next.js: 4ms, application-code: 5ms)
 POST /api/log 200 in 16ms (next.js: 6ms, application-code: 10ms)
 POST /api/log 200 in 16ms (next.js: 6ms, application-code: 10ms)
 POST /api/log 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/log 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/log 200 in 18ms (next.js: 8ms, application-code: 11ms)
 POST /api/log 200 in 16ms (next.js: 7ms, application-code: 10ms)
 POST /api/log 200 in 18ms (next.js: 7ms, application-code: 11ms)
 POST /api/log 200 in 12ms (next.js: 3ms, application-code: 9ms)
 POST /api/log 200 in 19ms (next.js: 7ms, application-code: 12ms)
